TagCode,GroupCode,ServerCode,TagName,DataType,DataSize,DataCount,Address,ClassName,DisplayOrder,Archive,Cycle,AutoSync,Active,ReadOnly,Remark,CreateTime,UpdateTime,RowVersion,
ProductNameFeedback167,ProductInfoSummary,WCSServer,产品名称反馈167,11,28,1,DB804.STRING4648,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,186F81A7ED2349B6BF252C10BE876ADC,
ProductNameFeedback168,ProductInfoSummary,WCSServer,产品名称反馈168,11,28,1,DB804.STRING4676,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,EE968741887043BCA9FF087E9A9ECE82,
ProductNameFeedback169,ProductInfoSummary,WCSServer,产品名称反馈169,11,28,1,DB804.STRING4704,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,5868061DD022424E95F6DA6D8A58F7BA,
ProductNameFeedback170,ProductInfoSummary,WCSServer,产品名称反馈170,11,28,1,DB804.STRING4732,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,4376D562807047DF8B32D0B829A51E11,
ProductNameFeedback171,ProductInfoSummary,WCSServer,产品名称反馈171,11,28,1,DB804.STRING4760,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,DBF72B12497D4BA587D68F31DE363980,
ProductNameFeedback172,ProductInfoSummary,WCSServer,产品名称反馈172,11,28,1,DB804.STRING4788,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,CE5D52928B404B9ABEF711B1CA058D3B,
ProductNameFeedback173,ProductInfoSummary,WCSServer,产品名称反馈173,11,28,1,DB804.STRING4816,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,8600D7613A514FC4A70F762BBDCE7DBF,
ProductNameFeedback174,ProductInfoSummary,WCSServer,产品名称反馈174,11,28,1,DB804.STRING4844,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,47B3DC2F6BFC4A9B9D72E78EDD750F37,
ProductNameFeedback175,ProductInfoSummary,WCSServer,产品名称反馈175,11,28,1,DB804.STRING4872,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,50DDD643C8B143E78FDCEBF35CBC6193,
ProductNameFeedback176,ProductInfoSummary,WCSServer,产品名称反馈176,11,28,1,DB804.STRING4900,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,FC43241F22864AD0B907C25A42556DC8,
ProductNameFeedback177,ProductInfoSummary,WCSServer,产品名称反馈177,11,28,1,DB804.STRING4928,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,B17E3E6BB5154F488B274DF74A11A2DF,
ProductNameFeedback178,ProductInfoSummary,WCSServer,产品名称反馈178,11,28,1,DB804.STRING4956,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,0A80D1E2C400480BA3CCF96395CB4D15,
ProductNameFeedback179,ProductInfoSummary,WCSServer,产品名称反馈179,11,28,1,DB804.STRING4984,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,BFDDDDA8283B415797325CBB93328FFB,
ProductNameFeedback180,ProductInfoSummary,WCSServer,产品名称反馈180,11,28,1,DB804.STRING5012,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,D593EABF82194D498DA6BF96AB372E40,
